Table Name,Record ID,Product URL,Inspection Photo,Product Name,Description,Retail Price (CAD),Weight,Dimension,Brand,Good product images,Processing Status,Processing Timestamp,Error Message
Items-Bid4more,recULj3aJYUyyLeKC,https://www.lowes.com/pd/STEM-Ants-Roaches-and-Spiders-Repellent-10-oz-Home-and-Perimeter-Indoor-Outdoor-Bug-Spray/5013381251,,STEM Home and Perimeter Insect Repellent,"STEM Home and Perimeter Insect Repellent repels ants, roaches and spiders. STEM effectively repels listed insects, yet is made with plant-based active ingredients, so can be used around kids and pets when used as directed.",Not found,1.03 lb,3.25 in W x 3.25 in D x 9.5 in H,STEM,"https://images.thdstatic.com/productImages/c193f21d-8e95-4b97-9154-0e4998063351/svn/stem-insect-repellents-490000-64_1000.jpg, https://images.thdstatic.com/productImages/e3e20515-412e-4723-8f7d-99187e35970d/svn/stem-insect-repellents-490000-4f_1000.jpg, https://images.thdstatic.com/productImages/b69105aa-7b11-48d5-9dd1-f67c6382b039/svn/stem-insect-repellents-490000-e1_400.jpg",Completed,2025-07-21T14:54:24.563646,
Items-Bid4more,recy7MlGr0vhsXT2J,https://www.lorealparis.ca/en-ca/superior-preference/superior-preference-lb02-ultra-light-natural-blonde,,Superior preference Superior Preference LB02 Ultra Light Natural Blonde,"New & Improved Superior Preference hair dye is suitable for all hair types and provides beautiful 100% grey coverage with up to 9 weeks of fade-defying color. Thanks to a higher concentration of dyes, this permanent hair dye has color that lasts longer, delivering a high-impact shine!",Not found,Not found,Not found,L'Oréal Paris,https://www.lorealparis.ca/-/media/project/loreal/brand-sites/oap/americas/ca/products/hair-colour/superior-preference/2022-08/packshot-resize/065338055054-preference_shade_lb02_topview.png,Completed,2025-07-21T14:54:33.385415,
Items-Bid4more,recLH8SuWHPh6KhaL,https://www.walmart.com/ip/Dove-Plant-Based-Cleansing-Bar-Soap-Dry-Skin-Macadamia-Milk-Willow-Lavender-Sulfate-Free-5-oz-1-Count/5063980423,,"Dove Plant-Based Cleansing Bar Soap, Dry Skin, Macadamia Milk & Willow Lavender, Sulfate-Free, 5 oz, 1 Count","Dove Plant-Based Cleansing Bar Soap is made with sulfate-free cleansers and plant-based moisturizers and is gentle to your skin's microbiome. This moisturizing bar soap lathers into a creamy, rich foam that washes away dirt and impurities while leaving your skin feeling clean and nourished. Dove Plant Based Cleansing Bar Soap rinses cleanly and leaves no soapy film behind so you can enjoy soft, smooth, clean skin.",Not found,5 oz,Not found,Dove,"https://i5.walmartimages.com/asr/e861e8d4-5d34-4177-9369-830d2946d332.83c7f9828e3250d5a09906a3250d158c.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF, https://i5.walmartimages.com/asr/1f0b3187-eb3b-4619-a726-525555625a26.eb56140e887452606634560287e7371d.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF, https://i5.walmartimages.com/asr/b5b12d00-9ff1-415d-a697-690d6f626e13.3a594e1797b5d275f77e3656e40f9320.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF",Completed,2025-07-21T14:54:39.024844,
Items-Bid4more,rec2rGa6YDLKKQl4B,"https://www.lorealparisusa.com/hair-color/permanent/excellence-creme-permanent-triple-protection-hair-color#:~:text=Your%20Excellence%20just%20got%20better,TETRASODIUM%20PYROPHOSPHATE%20%E2%80%A2%20SODIUM%20SALICYLATE",,Excellence Excellence-Creme-Permanent-Triple-Protection-Hair-Color,"Your Excellence just got better. Introducing the New Triple Care Color routine that deeply cares for your hair, and with 100% gray hair coverage for all hair types, even on stubborn grays. The color creme is formulated with Pro-Keratine complex that protects as it colors.",Not found,Not found,Not found,L'Oréal Paris,https://www.lorealparisusa.com/-/media/project/loreal/brand-sites/oap/americas/us/products/hair-color/permanent/excellence-creme-permanent-triple-protection-hair-color/4-dark-brown/08-20-24/071249210529-t1.png?sc_lang=en-us,Completed,2025-07-21T14:54:48.880883,
Items-Bid4more,recxesFdzQJkCDsRZ,https://www.amazon.ca/Outlast-Ultra-Moisture-Beauty-Packaging/dp/B01DO8P34W,,Not found,Not found,Not found,Not found,Not found,Not found,,Completed,2025-07-21T14:54:54.818983,
Items-Bid4more,recNmdbeYzZnwHT6o,https://www.walmart.ca/en/ip/Native-Volumizing-Shampoo-Cucumber-Mint-Sulfate-Paraben-Free/6000205496703,,"Native Volumizing Shampoo, Cucumber & Mint, Sulfate & Paraben Free, 487mL","Native Cucumber & Mint Sulfate-Free Shampoo uses just 10 thoughtful ingredients to bring on the bounce. This cleansing mint shampoo provides weightless lift for full, voluminous hair.  Like all Native hair care products, it’s free of sulfates, parabens, silicone, and dye, and it’s vegan and cruelty-free.",CAD13.97,Not found,Not found,Native,https://i5.walmartimages.com/asr/e601e6ea-be7a-49a5-bf6d-3f72800f27d6.acdba71ac5e932015d74d81bc3cd3552.jpeg,Completed,2025-07-21T14:54:56.840820,
Items-Bid4more,recEqYaR5S4TopDU9,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Exfoliating Body Scrub Pomegranate Seeds & Shea Butter,"Dove Exfoliating Body Scrub Pomegranate Seeds & Shea Butter gently polishes away dull, dry skin. This moisturizing body scrub, infused with pomegranate seeds and shea butter, leaves your skin feeling soft and smooth.",$8.99,298 g,Not found,Dove,"https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-042242-png.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-043286-png.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-504815-png.png",Completed,2025-07-21T14:55:01.484524,
Items-Bid4more,rec0nLAXK9TYREvzW,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Exfoliating Body Polish Scrub with Pomegranate Seeds & Shea Butter,"Dove Exfoliating Body Polish Scrub with Pomegranate Seeds & Shea Butter gently polishes away dull, dry skin to reveal instantly soft, smooth skin. This Dove body scrub leaves your skin feeling nourished while providing lasting smoothness and is infused with 1/4 moisturizing cream.",$8.49,298 g,Not found,Dove,"https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-00011111054677-525657-front-20221026_dove_pomegranate_sheabutter_bodyscrub_298g_r1-800x800.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-00011111054677-525656-back-20221026_dove_pomegranate_sheabutter_bodyscrub_298g_r1-800x800.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-00011111054677-525655-top-20221026_dove_pomegranate_sheabutter_bodyscrub_298g_r1-800x800.png",Completed,2025-07-21T14:55:07.792668,
Items-Bid4more,rec1ijWseXkCjWlbt,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Exfoliating Body Polish Pomegranate Seeds & Shea Butter,"Dove Exfoliating Body Polish Pomegranate Seeds & Shea Butter gently polishes away dull, dry skin, revealing instantly soft, smooth skin. Infused with naturally-derived cleansers, this gentle body scrub for dry skin is made with ¼ moisturizing cream and leaves your skin feeling nourished and healthy.",$7.99,298 g,Not found,Dove,"https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-595644-png.png, https://www.dove.com/content/dam/unilever/dove/canada/pack_shot/00011111054677-595645-png.png",Completed,2025-07-21T14:55:16.500624,
Items-Bid4more,recjvZhq5OfofCWd1,https://www.everymanjack.com/products/28-8oz-3-in-1-all-over-wash,,3-in-1 All Over Wash 28.8oz,"Our 3-in-1 All Over Wash simplifies your shower routine, formulated to cleanse your body while shampooing and conditioning your hair for a head-to-toe clean.",Not found,Not found,Not found,Every Man Jack,"http://www.everymanjack.com/cdn/shop/files/878639013704-everymanjack-AOW-28.8oz-cedarsage-main.jpg?v=1743175229, https://www.everymanjack.com/cdn/shop/files/878639013704-everymanjack-AOW-28.8oz-cedarsage-main.jpg?v=1743175229",Completed,2025-07-21T14:55:22.436219,
