category_id,category_name,category_slug,seo_title,meta_description,focus_keyword,category_url
1993,Toilets & Bidets,toilets-bidets,Shop Toilets & Bidets | Latest Trends & Affordable Prices,"Browse our premium collection of toilets & bidets. Shop top styles, quality brands, and exclusive deals online today!","['toilets & bidets', 'buy toilets & bidets', 'toilets & bidets online']",https://pay.4more.ca/product-category/toilets-bidets/
1911,Outdoor Furniture,outdoor-furniture,Shop Outdoor Furniture | Latest Trends & Affordable Prices,"Browse our premium collection of outdoor furniture. Shop top styles, quality brands, and exclusive deals online today!","['outdoor furniture', 'buy outdoor furniture', 'outdoor furniture online']",https://pay.4more.ca/product-category/outdoor-furniture/
3268,Cleaning Tools & Equipment,cleaning-tools-equipment,Essential Cleaning Tools & Equipment | 2025 Buyer's Guide,"Clean smarter, not harder. Our 2025 buyer's guide reviews the best vacuum cleaners, steam mops, microfiber cloths, and other essential cleaning tools.","['cleaning tools', 'cleaning equipment', 'best vacuum cleaner 2025', 'mops and brooms', 'robotic vacuums', 'microfiber cleaning cloths.']",https://pay.4more.ca/product-category/cleaning-tools-equipment/
2020,Doors & Windows,doors-windows,Shop Doors & Windows | Latest Trends & Affordable Prices,"Browse our premium collection of doors & windows. Shop top styles, quality brands, and exclusive deals online today!","['doors & windows', 'buy doors & windows', 'doors & windows online']",https://pay.4more.ca/product-category/doors-windows/
2035,Smart Entertainment,smart-entertainment,Shop Smart Entertainment | Latest Trends & Affordable Prices,"Browse our premium collection of smart entertainment. Shop top styles, quality brands, and exclusive deals online today!","['smart entertainment', 'buy smart entertainment', 'smart entertainment online']",https://pay.4more.ca/product-category/smart-entertainment/
1916,Mirrors,mirrors,Shop Mirrors | Latest Trends & Affordable Prices,"Browse our premium collection of mirrors. Shop top styles, quality brands, and exclusive deals online today!","['mirrors', 'buy mirrors', 'mirrors online']",https://pay.4more.ca/product-category/mirrors/
3242,Team Sports,team-sports,Shop Team Sports | Latest Trends & Affordable Prices,"Browse our premium collection of team sports. Shop top styles, quality brands, and exclusive deals online today!","['team sports', 'buy team sports', 'team sports online']",https://pay.4more.ca/product-category/team-sports/
1939,Books & Media,books-media,Shop Books & Media | Latest Trends & Affordable Prices,"Browse our premium collection of books & media. Shop top styles, quality brands, and exclusive deals online today!","['books & media', 'buy books & media', 'books & media online']",https://pay.4more.ca/product-category/books-media/
3269,Waste Management (Trash Cans & Liners),waste-management-trash-cans-liners,A Guide to Trash Cans & Liners in Oakville & Halton (2025),"Find the best kitchen trash cans, recycling bins, and compost pails for your home. Our 2025 guide helps Oakville & Halton residents choose the right products.","['kitchen trash can', 'recycling bin', 'compost bin', 'trash can liners', 'best trash bags', 'dual compartment trash can', 'waste management Halton Region', 'compostable bags Oakville']",https://pay.4more.ca/product-category/waste-management-trash-cans-liners/
3300,"Disinfectants & Sanitizers (Sprays, Wipes)",disinfectants-sanitizers-sprays-wipes,Glass & Window Cleaners - Shop Now,Shop Glass & Window Cleaners and more. Discover a wide range of Bathroom Toilet Cleaners within our Household Cleaners selection. Browse the best Bathroom Toilet Cleaners available.,['glass*&*window_cleaners'],https://pay.4more.ca/product-category/disinfectants-sanitizers-sprays-wipes/
1982,Exterior Paint,exterior-paint,Shop Exterior Paint | Latest Trends & Affordable Prices,"Browse our premium collection of exterior paint. Shop top styles, quality brands, and exclusive deals online today!","['exterior paint', 'buy exterior paint', 'exterior paint online']",https://pay.4more.ca/product-category/exterior-paint/
3243,Dress Up & Pretend Play,dress-up-pretend-play,Shop Dress Up & Pretend Play | Latest Trends & Affordable Prices,"Browse our premium collection of dress up & pretend play. Shop top styles, quality brands, and exclusive deals online today!","['dress up & pretend play', 'buy dress up & pretend play', 'dress up & pretend play online']",https://pay.4more.ca/product-category/dress-up-pretend-play/
1918,Kitchen & Dining,kitchen-dining,Shop Kitchen & Dining | Latest Trends & Affordable Prices,"Browse our premium collection of kitchen & dining. Shop top styles, quality brands, and exclusive deals online today!","['kitchen & dining', 'buy kitchen & dining', 'kitchen & dining online']",https://pay.4more.ca/product-category/kitchen-dining/
2047,Arts & Crafts,arts-crafts,Shop Arts & Crafts | Latest Trends & Affordable Prices,"Browse our premium collection of arts & crafts. Shop top styles, quality brands, and exclusive deals online today!","['arts & crafts', 'buy arts & crafts', 'arts & crafts online']",https://pay.4more.ca/product-category/arts-crafts/
1967,Grinders,grinders,Shop Grinders | Latest Trends & Affordable Prices,"Browse our premium collection of grinders. Shop top styles, quality brands, and exclusive deals online today!","['grinders', 'buy grinders', 'grinders online']",https://pay.4more.ca/product-category/grinders/
2074,Office Machines,office-machines,Shop Office Machines | Latest Trends & Affordable Prices,"Browse our premium collection of office machines. Shop top styles, quality brands, and exclusive deals online today!","['office machines', 'buy office machines', 'office machines online']",https://pay.4more.ca/product-category/office-machines/
1907,Living Room,living-room,Shop Living Room | Latest Trends & Affordable Prices,"Browse our premium collection of living room. Shop top styles, quality brands, and exclusive deals online today!","['living room', 'buy living room', 'living room online']",https://pay.4more.ca/product-category/living-room/
1922,Appliances,appliances,Shop Appliances | Latest Trends & Affordable Prices,"Browse our premium collection of appliances. Shop top styles, quality brands, and exclusive deals online today!","['appliances', 'buy appliances', 'appliances online']",https://pay.4more.ca/product-category/appliances/
2007,Carpet,carpet,Shop Carpet | Latest Trends & Affordable Prices,"Browse our premium collection of carpet. Shop top styles, quality brands, and exclusive deals online today!","['carpet', 'buy carpet', 'carpet online']",https://pay.4more.ca/product-category/carpet/
1964,Hand Tools,hand-tools,Shop Hand Tools | Latest Trends & Affordable Prices,"Browse our premium collection of hand tools. Shop top styles, quality brands, and exclusive deals online today!","['hand tools', 'buy hand tools', 'hand tools online']",https://pay.4more.ca/product-category/hand-tools/
1941,Movies & TV,movies-tv,Shop Movies & TV | Latest Trends & Affordable Prices,"Browse our premium collection of movies & tv. Shop top styles, quality brands, and exclusive deals online today!","['movies & tv', 'buy movies & tv', 'movies & tv online']",https://pay.4more.ca/product-category/movies-tv/
2004,Hardwood Flooring,hardwood-flooring,Shop Hardwood Flooring | Latest Trends & Affordable Prices,"Browse our premium collection of hardwood flooring. Shop top styles, quality brands, and exclusive deals online today!","['hardwood flooring', 'buy hardwood flooring', 'hardwood flooring online']",https://pay.4more.ca/product-category/hardwood-flooring/
1936,Sports Equipment,sports-equipment,Shop Sports Equipment | Latest Trends & Affordable Prices,"Browse our premium collection of sports equipment. Shop top styles, quality brands, and exclusive deals online today!","['sports equipment', 'buy sports equipment', 'sports equipment online']",https://pay.4more.ca/product-category/sports-equipment/
1923,Bedding,bedding,Shop Bedding | Latest Trends & Affordable Prices,"Browse our premium collection of bedding. Shop top styles, quality brands, and exclusive deals online today!","['bedding', 'buy bedding', 'bedding online']",https://pay.4more.ca/product-category/bedding/
1987,Door Hardware,door-hardware,Shop Door Hardware | Latest Trends & Affordable Prices,"Browse our premium collection of door hardware. Shop top styles, quality brands, and exclusive deals online today!","['door hardware', 'buy door hardware', 'door hardware online']",https://pay.4more.ca/product-category/door-hardware/
3301,Storage Boxes,storage-boxes,Shop Storage Boxes | Latest Trends & Affordable Prices,"Browse our premium collection of storage boxes. Shop top styles, quality brands, and exclusive deals online today!","['storage boxes', 'buy storage boxes', 'storage boxes online']",https://pay.4more.ca/product-category/storage-boxes/
2146,Baby Clothing,baby-clothing,Shop Baby Clothing | Latest Trends & Affordable Prices,"Browse our premium collection of baby clothing. Shop top styles, quality brands, and exclusive deals online today!","['baby clothing', 'buy baby clothing', 'baby clothing online']",https://pay.4more.ca/product-category/baby-clothing/
