SKU,Product Title (gemini recommended),SEO Title,Focus Keywords,SEO Meta Description,Brand,product-slug,product Tags,Image Alt Text
A00982,"Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad, Smart Connector - Oxford Gray; USA Layout",Logitech Combo Touch iPad Pro 12.9-inch (5th | Pay4more,"and, with, -, keyboard, ipad","Shop Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad,...",Pay4more,logitech-combo-touch-ipad-pro-129-inch-5th-6th-gen---2021-2022-keyboard-case---detachable-backlit-keyboard-with-kickstand-click-anywhere-trackpad-smart-connector---oxford-gray-usa-layout,"keyboard, case, that, 12.9-inch, touch, connector, ipados, what, logitech, 2021), combo, with, more, ipad, levels, (5th, trackpad, smart, backlit, click-anywhere, your","Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad, Smart Connector - Oxford Gray; USA Layout - Pay4more"
A00984,"CRAFTSMAN Pocket Laser Distance Measurer 55-ft
","CRAFTSMAN Pocket Laser Distance Measurer 55-ft
 | Pay4more","craftsman, pocket, laser, distance, measurer","Shop CRAFTSMAN Pocket Laser Distance Measurer 55-ft
 at Pay4more. CRAFTSMAN Pocket Laser Distance Measurer 55-ft
",Pay4more,craftsman-pocket-laser-distance-measurer-55-ft-,"pocket, 55-ft
, laser, measurer, distance, craftsman","CRAFTSMAN Pocket Laser Distance Measurer 55-ft
 - Pay4more"
P00001,Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Shaker Style Assembled Kitchen Wall Ca,Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Sha...,"a, the, shaker, style, edson",Shop Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Shaker Style Assembled Kitchen Wall Ca at Pay4more. Demonstrating a transitional appearance that w...,Hampton Bay,hampton-bay-edson-30-inch-w-x-30-inch-h-x-125-inch-d-shaker-style-assembled-kitchen-wall-ca,"that, 30-inch, adjustable, shaker, style, assembled, grey, door, edson, with, wall",Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Shaker Style Assembled Kitchen Wall Ca - Hampton Bay
P00002,Hisense 30 inch W 21 cu. Ft French door Refrigerator,Hisense 30 inch W 21 cu. Ft French door Refrigerator | Hi...,"the, door, is, and, for","Shop Hisense 30 inch W 21 cu. Ft French door Refrigerator at Pay4more. The Perfect Fit - Measuring under 67 in height, this sleek Hisense French Door Refrige...",Hisense,hisense-30-inch-w-21-cu-ft-french-door-refrigerator,"french, hisense, refrigerator, perfect, door",Hisense 30 inch W 21 cu. Ft French door Refrigerator - Hisense
P00003,Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top Freezer Counter Depth Refrigerator with,Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top ...,"unique, a, the, propane, is",Shop Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top Freezer Counter Depth Refrigerator with at Pay4more. The Unique 6 is the perfect entry-level up...,Unique Appliances,unique-appliances-off-grid-24-inch-6-cu-ft-propane-top-freezer-counter-depth-refrigerator-with,"unique, with, propane",Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top Freezer Counter Depth Refrigerator with - Unique Appliances
P00004,Baxton Studio Landis Dresser in Ash Walnut and Gold,Baxton Studio Landis Dresser in Ash Walnut and Gold | Bax...,"the, landis, of, and, dresser",Shop Baxton Studio Landis Dresser in Ash Walnut and Gold at Pay4more. Configure your bedroom to fit your needs with the stunning utility and style of the Lan...,Baxton Studio,baxton-studio-landis-dresser-in-ash-walnut-and-gold,"wood, dresser, landis, bedroom, walnut, modern, features, with, your",Baxton Studio Landis Dresser in Ash Walnut and Gold - Baxton Studio
P00006,Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Table with Storage,Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Ta...,"and, for, solid, wood, your","Shop Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Table with Storage at Pay4more. Two-tone sandy beach and driftwood-inspired textured, yet smooth ...",Laurel Foundry Modern Farmhouse,laurel-foundry-modern-farmhouse-dash-solid-wood-coffee-table-with-storage,"wood, storage, solid, with, your",Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Table with Storage - Laurel Foundry Modern Farmhouse
P00007,"Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench with Flip-Up Pegboard - Matte Black","Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench...","with, and, heavy-duty, husky, to","Shop Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench with Flip-Up Pegboard - Matte Black at Pay4more. The Husky 61-inch W 23-inch D 10-Drawer 1-Doo...",Husky,husky-heavy-duty-61-w-x-23-d-10-drawer-mobile-workbench-with-flip-up-pegboard---matte-black,"mobile, pegboard, matte, inches, workbench, flip-up, husky, heavy-duty, storage, drawer, features, black, with, 10-drawer","Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench with Flip-Up Pegboard - Matte Black - Husky"
P00008,"Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Chest and Cabinet Combo - Matte Black","Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Che...","and, with, heavy-duty, husky, drawer","Shop Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Chest and Cabinet Combo - Matte Black at Pay4more. The Husky 52-inch 15-Drawer Tool Chest and Cabi...",Husky,husky-heavy-duty-52-w-x-20-d-15-drawer-tool-storage-chest-and-cabinet-combo---matte-black,"combo, 15-drawer, chest, tool, matte, husky, cabinet, heavy-duty, storage, drawer, features, black, with","Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Chest and Cabinet Combo - Matte Black - Husky"
P00009,"Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workbench with Solid Wood Top - Gloss Gray","Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workben...","with, husky, standard-duty, a, drawer","Shop Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workbench with Solid Wood Top - Gloss Gray at Pay4more. The Husky 52-inch 9-Drawer Mobile Work Center ...",Husky,husky-standard-duty-52-w-x-18-d-9-drawer-mobile-workbench-with-solid-wood-top---gloss-gray,"mobile, features, 9-drawer, inches, workbench, gloss, husky, heavy-duty, solid, drawer, standard-duty, gray, with","Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workbench with Solid Wood Top - Gloss Gray - Husky"
P00010,"LG 10,000 BTU SACC (14,000 BTU ASHRAE) Dual Inverter Smart Wi-Fi Portable Air Conditioner - White",LG 10 | LG Electronics,"btu, lg, and, for, air","Shop LG 10,000 BTU SACC (14,000 BTU ASHRAE) Dual Inverter Smart Wi-Fi Portable Air Conditioner - White at Pay4more. The LG LP1419IVSM portable air conditione...",LG Electronics,lg-10000-btu-sacc-14000-btu-ashrae-dual-inverter-smart-wi-fi-portable-air-conditioner---white,"10,000, dual, (14,000, ashrae), sacc, portable, conditioner, inverter, features","LG 10,000 BTU SACC (14,000 BTU ASHRAE) Dual Inverter Smart Wi-Fi Portable Air Conditioner - White - LG Electronics"
P00011,Hampton Bay Dearstone 4-Piece All-Weather Wicker Patio Conversation Set with CushionGuard Beige Cushions,Hampton Bay Dearstone 4-Piece All-Weather Wicker Patio Co...,"and, for, wicker, set, with",Shop Hampton Bay Dearstone 4-Piece All-Weather Wicker Patio Conversation Set with CushionGuard Beige Cushions at Pay4more. The Hampton Bay Dearstone 4-Piece ...,Hampton Bay,hampton-bay-dearstone-4-piece-all-weather-wicker-patio-conversation-set-with-cushionguard-beige-cushions,"conversation, dearstone, all-weather, wicker, cushions, cushionguard, outdoor, hampton, includes, 4-piece, with",Hampton Bay Dearstone 4-Piece All-Weather Wicker Patio Conversation Set with CushionGuard Beige Cushions - Hampton Bay
P00012,Hampton Bay Harmony Hill 3-Piece Black Steel Outdoor Patio Sectional Sofa with CushionGuard Almond Biscotti Cushions,Hampton Bay Harmony Hill 3-Piece Black Steel Outdoor Pati...,"and, 1, cushions, outdoor, for",Shop Hampton Bay Harmony Hill 3-Piece Black Steel Outdoor Patio Sectional Sofa with CushionGuard Almond Biscotti Cushions at Pay4more. The Hampton Bay Harmon...,Hampton Bay,hampton-bay-harmony-hill-3-piece-black-steel-outdoor-patio-sectional-sofa-with-cushionguard-almond-biscotti-cushions,"3-piece, outdoor, steel, cushions, cushionguard, table, harmony, coffee, with, hampton, hill, features, black, sectional, loveseat,",Hampton Bay Harmony Hill 3-Piece Black Steel Outdoor Patio Sectional Sofa with CushionGuard Almond Biscotti Cushions - Hampton Bay
P00013,Hampton Bay Ellington 4-Piece Steel Outdoor Patio Seating Set with CushionGuard Malachite Green Cushions,Hampton Bay Ellington 4-Piece Steel Outdoor Patio Seating...,"outdoor, and, the, that, steel",Shop Hampton Bay Ellington 4-Piece Steel Outdoor Patio Seating Set with CushionGuard Malachite Green Cushions at Pay4more. Create a sophisticated outdoor ret...,Hampton Bay,hampton-bay-ellington-4-piece-steel-outdoor-patio-seating-set-with-cushionguard-malachite-green-cushions,"that, resist, seating, outdoor, steel, cushions, cushionguard, green, hampton, malachite, 4-piece, with, ellington",Hampton Bay Ellington 4-Piece Steel Outdoor Patio Seating Set with CushionGuard Malachite Green Cushions - Hampton Bay
