Product Name,Title,Price,Description,Image URLs,Amazon URL,ASIN
Copper fit corr shaper. S/M waist 26-34 in,Not Found,$49.99,Not Found,,https://www.amazon.ca/s?k=Copper+fit+corr+shaper.+S%2FM+waist+26-34+in&dc&ref=a9_asc_1,Not Found
Rael organic cotton cover period underwear ,Not Found,Not Found,Not Found,,https://aax-us-iad.amazon.com/x/c/JPWggl_FelQr1Pempcy2hW4AAAGWbbgLFwEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICCirPR5/https://www.amazon.ca/stores/page/0BAD54EE-1DA8-478C-A125-7AA33ACFED68/?_encoding=UTF8&store_ref=SB_A0027555S74DW1PBZ3WJ-A07648592XT2ZG9DP6LC6&pd_rd_plhdr=t&aaxitk=01a97384dbb134fd01dc294b0d6cd981&hsa_cr_id=1544819320801&lp_asins=B099N4NB44%2CB085NMTKX4&lp_query=Rael%20organic%20cotton%20cover%20period%20underwear&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=0izS6&content-id=amzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd%3Aamzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_p=b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_r=MP6PSCG5APAY0BZ785Y1&pd_rd_wg=pkO3p&pd_rd_r=2adc3535-2b2f-44bf-92bb-3983048510dc,Not Found
Monster jam Captain's curse,Monster Jam 20106670 VHC El Toro Loco vs Mutt GML,$29.95,Collect all your favorite vehicles from Monster jam! these fully functional vehicles have all the authentic detailing of the original!,"https://m.media-amazon.com/images/I/81jTvJ6HqrL.__AC_SX300_SY300_QL70_ML2_.jpg; https://images-na.ssl-images-amazon.com/images/I/81jTvJ6HqrL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/918mfGlD12L._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/81+7PhqFW-L._AC_UL116_SR116,116_.jpg",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo2MjY1MzM2NDIwNTkyNDA1OjE3NDU1OTc1MDI6c3BfYXRmOjMwMDM4MTM1MjcxODIwMjo6MDo6&url=%2FMonster-Jam-Official-Die-Cast-Trucks%2Fdp%2FB07GTFV3RJ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.oU-GezqLTkA4KAJOcElakiErEtzGsfsB2Z4Xr6MtEjWBmvLhmTlZxy55JMZ5YmK5RyHkB_x1vune4bd3loH-yqYxEnKZIMGTiANih10vm7ySjm0cekWHh8alhK0WdZdZEDbkQ_qxNxBecTRoYKxFdoDo4xsoUI5Uqm6kiKpxXY3gEaisbjlKNccDGGeBe_IA.2B3hvsAEv4hCA0fsxdE1q1J6j1YUZ021QbwqBkNKZqA%26dib_tag%3Dse%26keywords%3DMonster%2Bjam%2BCaptain%2527s%2Bcurse%26qid%3D1745597501%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Not Found
Monster Jam Crushstation,56PCS Magnetic Tiles Road Toppers Set Building Toys for 3 Year Old Boys and Girls Playing with Car Toys Preschool Learning Activities Gift for 3 4 5 6 Year Old Toddlers Kids,$35.98,Not Found,"https://m.media-amazon.com/images/I/814Udwz7DGL.__AC_SX300_SY300_QL70_ML2_.jpg; https://images-na.ssl-images-amazon.com/images/I/814Udwz7DGL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/91WxZUM7qKL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/81LdhJ1ZTBL._AC_UL116_SR116,116_.jpg",https://aax-us-iad.amazon.com/x/c/JB9P1MwvUZEPMbsbcxRIwAgAAAGWbbgeXAEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICC9euje/https://www.amazon.ca/dp/B0C5S2TFZY/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B0C5S2TFZY&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1745597504&pd_rd_w=yr0qS&content-id=amzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd%3Aamzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_p=b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_r=5GY5VVXG1MBXQS5GSKDK&pd_rd_wg=BhFFZ&pd_rd_r=b327365a-d5a1-42bd-8456-930b35617265,B0C5S2TFZY
Monster Jam Zombie,Not Found,Not Found,Not Found,,https://aax-us-iad.amazon.com/x/c/JCMo2O1BWsHqQG2rZUTJmDQAAAGWbbgqFwEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDUUU4L/https://www.amazon.ca/stores/page/CD299326-3A0C-4F1D-8CF6-A5A32A294CAB/?_encoding=UTF8&store_ref=SB_A01528173BLEJ078H2N22-A09435451NDAH4UHQI94N&pd_rd_plhdr=t&aaxitk=ff05bb90499b96188c86e48a9fb4eb4e&hsa_cr_id=4453184310601&lp_asins=B09MW4RWDV%2CB07PSB7798%2CB0BRZR3G22&lp_query=Monster%20Jam%20Zombie&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=fJP4R&content-id=amzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd%3Aamzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_p=b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_r=X19KRP6WJ1W4929MBT6R&pd_rd_wg=WKcvj&pd_rd_r=ec57e6d5-53b3-4317-bd4f-b5a963a6c7b9,Not Found
Monster Jam El toro loco VS Monster mut,Monster Jam 20106670 VHC El Toro Loco vs Mutt GML,$29.95,Collect all your favorite vehicles from Monster jam! these fully functional vehicles have all the authentic detailing of the original!,"https://m.media-amazon.com/images/I/81jTvJ6HqrL.__AC_SX300_SY300_QL70_ML2_.jpg; https://images-na.ssl-images-amazon.com/images/I/81jTvJ6HqrL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/918mfGlD12L._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/81+7PhqFW-L._AC_UL116_SR116,116_.jpg",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToyNjgyODAwNDY3NDgxMTMwOjE3NDU1OTc1MDk6c3BfYXRmOjMwMDU3OTUxNzcxNzkwMjo6MDo6&url=%2FMonster-Jam-Official-Die-Cast-Trucks%2Fdp%2FB07GTFV3RJ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OqnIw1ef1wbZcDTtmoo-qEH6ar121jYVINWiuK4NQD3tACJcXi6e2wq03KfWCo9-JRBX0bDDdOhBjVY__Kag5ox51cLSug5tQwfbVBC-SB2YHLQIoZDGZddn6BZf55YN97K2wsWpyj9ZTa3pGsfWZ4h8FA8ppBNzHxKddtQvcSq4u8C92Jq_x2gvXh_hLex4bz2ND3ZF1I9xu1S77Zd2OBrcwii7yy87Kvque7fTOpuZuTTg9ckx6ROzhwLiM9ZCDdTkK2U-nVsOdtPkheaeDMof_sUK0XYfDvipCVe--eU.dJebYM2Pn-72YL_HSPFmceykFBy9U_IL-qQnXluo1kY%26dib_tag%3Dse%26keywords%3DMonster%2BJam%2BEl%2Btoro%2Bloco%2BVS%2BMonster%2Bmut%26qid%3D1745597509%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Not Found
Monster Jam Pirets curse 2,Not Found,$17.24,Not Found,,https://www.amazon.ca/s?k=Monster+Jam+Pirets+curse+2&dc&ref=a9_asc_1,Not Found
Monster Jam Megalodon,"Remote Control Car, Rechargeable Fast Direct Charging RC Cars with Colorful Light, Double Sided 360° Flips RC Stunt Car 2.4Ghz 4WD All Terrain RC Race Car Toy Xmas Gift for Boys and Girls Aged 3-12",$31.99,Not Found,"https://m.media-amazon.com/images/I/71MUWaTigoL.__AC_SX300_SY300_QL70_ML2_.jpg; https://images-na.ssl-images-amazon.com/images/I/71MUWaTigoL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/81A+5FYgfDL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/81lPkh1LIzL._AC_UL116_SR116,116_.jpg",https://aax-us-iad.amazon.com/x/c/JEKFQpQ9arppGV9CT6v-wwIAAAGWbbhCagEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAYm9Kr/https://www.amazon.ca/dp/B0CJRGBX3P/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B0CJRGBX3P&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1745597514&pd_rd_w=9azeY&content-id=amzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd%3Aamzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_p=b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_r=9KFGGVS48T9ZPY0DRTZJ&pd_rd_wg=iEI6u&pd_rd_r=a1a6eee9-207a-4119-a681-1d910e09af26,B0CJRGBX3P
Monster Jam weckreation,"3D Night Lights for Children, Kids Night Lamp, Monster Trucks for Boys, 16 LED Colors Changing Lighting, Car Shape Acrylic Lighting Table Desk Bedroom Decoration, Ideas Birthday Xmas",$25.99,Not Found,"https://m.media-amazon.com/images/I/81oLO9E1RjL.__AC_SX300_SY300_QL70_ML2_.jpg; https://images-na.ssl-images-amazon.com/images/I/81oLO9E1RjL._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/81AfXd6sQKL._AC_UL116_SR116,116_.jpg",https://aax-us-iad.amazon.com/x/c/JH7KE-lkRLCLnJn6H1Jh3sIAAAGWbbhP0gEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICBfI4At/https://www.amazon.ca/dp/B08Z79YTCV/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B08Z79YTCV&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1745597517&pd_rd_w=YscqU&content-id=amzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd%3Aamzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_p=b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_r=VS1SSWGY0DX01J720JW6&pd_rd_wg=a8ScF&pd_rd_r=6e9863a4-72e8-46d5-a17c-be1a53a5f512,B08Z79YTCV
Monster Jam Avenger,"Hosim 1:10 Scale Brushless Rc Cars for Adults Boys, 62+KMH High Speed Remote Control Car Fast, 4X4 All Terrains Waterproof Off Road Hobby Grade Large Racing Buggy Toy Gift Monster Trucks",$179.98,Not Found,"https://m.media-amazon.com/images/I/81XeQ6e1G+L._AC_SY300_SX300_.jpg; https://images-na.ssl-images-amazon.com/images/I/81XeQ6e1G+L._AC_UL116_SR116,116_.jpg; https://images-na.ssl-images-amazon.com/images/I/71KR6ATG+gL._AC_UL116_SR116,116_.jpg",https://aax-us-iad.amazon.com/x/c/JOMUfXNEB5Jd8c5SOUjWPMAAAAGWbbhdgQEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICC45hTa/https://www.amazon.ca/dp/B0CSK7ZWTN/?_encoding=UTF8&_encoding=UTF8&pd_rd_i=B0CSK7ZWTN&ref_=sxts_sparkle_sbv&ref_=sbx_be_s_sparkle_ssd_bkg&qid=1745597521&pd_rd_w=bqPIS&content-id=amzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd%3Aamzn1.sym.b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_p=b63e1afd-fa7d-4ee5-8745-6f3b9e8da6bd&pf_rd_r=X27C685BA197T9J4TT8B&pd_rd_wg=GhUba&pd_rd_r=5751a07a-2658-472f-bc80-d4c4a828e183,B0CSK7ZWTN
