hibid_or_sku,filename,field_name,auction_name,view_name,original_url,timestamp,source
1,1-1.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/QXDRIZhqyqZWxa4GLLPqlg/Aukc79UabAITwvLaR5FXgNfGNv7kJeeCtlPP88ISWjv5ljaXzu0_x4P9KMPEuDrzLu9eKxCAVRcGcH1Kr6E00FUVbUqivJP1b07wQ9hP_znqrWHejdD0HhEl07PFvWtRwMjr1scA9v4cwKF9qqFBkw/1YaiFf2N5dzTkW2rK8Qp4BrAje5wacMD3rmzIuReiak,2025-08-09T18:18:30.346289,Direct
1,1-2.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/vtip8_JkigrrFMhtmRbnFw/FbcScZ80EPN_GaBjRJP2VJiKEBUZcXSh7B_87xXmqvwupCFOEAefoMreSYp63PHkdF56VPbU1R-0fYvauUMBlae6cQtpVN-h5TRTu4NqvAKYnBf2muWkKGlDCZtV92zP_s0h0NFSV3tqoo5gMv6s7Q/khl4k91scx-xCvMLzrWxjyWgxNI7P82FJuV9SWS-CPs,2025-08-09T18:18:31.240298,Direct
4,4-1.jpg,Item Featured Photo,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/VBupptx6fElzDA9jgI-jDQ/Uhn9xUrtXFRENxpiLPgk_jLaQCasxv2LawpAFqXPHedOOMskQmsN650JlV5t8DH7bebsbrIKqwG-VTagbO5Mv-z_QaOkIV5VORFzCeQdI9o9nqQYv_7Ql-PzDQODW2JNpN3VK6xCTAwxhuEdWJqeImkkgpRwwjgz2rH0wxO7eks/rDKqArTtL5YDURMAj7vLP5dUKRFNbhjSeqJuuleK82c,2025-08-09T18:18:31.923812,Direct
4,4-2.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/0DSiV6lqfblplcxm0xDMmw/FU3n4hLbvIHNe8Ay3IpymkeWoWEQqjSSe__WiI3nzBoA2yW_IS3zmFYWHxHGQqZ3CWRPS2fYBZZlQ3JRCEaBmuFhEBviYaMF_cEk-uamG92aFrEcSFtNZ1MCkhKr9FAT7fx5Wy54AertlCsUZ3Yrzw/22TqBxWwe-79umGkLYLYPMA9VlZPy0LnvBnZhV1znFQ,2025-08-09T18:18:34.483988,Direct
18,18-1.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/PYUK8It8bVYQQywjeD6uUQ/GgJ6MQAjKYMVE6gBfkBA5GRaky68ESjHAH6mmQIkGQpOg_FssM7CdD2yqWegf_pBU3dEsGeNjmnZPF0ajk78CrodHgyWX2wSUonTHV088hAwm_pFWxJG4VgGDeyaqyKTq_SGa_CXiv48S5E5zbLFOA/WQUI_HK_srNFkUX92iZrhL-Lu047dkDkbJs0e7bnyjE,2025-08-09T18:18:35.409357,Direct
18,18-2.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/RTsbYqlPkCF9nC9jciswJg/4WCTZym8TUie95b-zt6K_ob4VjLEPfSCtRzm5cIDBW-BYpgOFL_nn8rpZoK7c5geJf_TzEUS0e6EZMOnHY19tHk385eNFpR2Z4HsaEC2szQ5GkNSPmUL3DqJLxD1ofS38-_ugnj09BJQKI9Ikifflg/9GJizLX503FRRdKTuYdwe0y1QzQNlL6g_Qhw0wUNHdI,2025-08-09T18:18:36.199968,Direct
18,18-3.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/2IrJrtmtbq1xc_4pIoGD1w/pE0ZxAdOTcSJyteOliozi1XlHQIsYSjjbXoHnMJeuBXtC-a9392vla8Ja3ctB6TFV08Ge893fafX-TaJuaereWaxn-TqJvP92jPFfKaH-kAWWlVZ0DcCiNq_LQpvCc3hmhc1Rsit9IC_zjUN-58RTQ/459zl6fyMU0bMBKPphyNlTSuE3xV14FYWUlFnAk7jag,2025-08-09T18:18:37.346530,Direct
18,18-4.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/09d8MeGLDeGtSpGvW2zG6Q/vr58UoegUpHy0LJPkkb1IOb-nPbcwcty879OPxgcICpJjTL3qvyTx4MgvM0dgB4FFqSyprkZmNab1bXA-WPs-fF8IEp8puFc3tjSipxfdmp2YUupKfnMBtpwLSc-MTQffmJwGZOzOodemj6Gvan0mQ/1GRHZHljzIfvBgI2mY83ExVPDM2nukWw16uV7KeGVkk,2025-08-09T18:18:38.116688,Direct
64,64-1.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/eDSYBt8Q6cPdaO72ai7ISQ/A65JO0pre8a547LsKHn0Jt1ANNDcg98hn79kw55vDdIkehcvyHM7GPMTPCCdEYXyLEQOP9tNgT7e_L6rAk8D4HZ52lmexCyS2KNAZtLc8dtB0M1gzPywwReL-HlmTXOM5OL9XANUnUCZTevKmmt2HA/1C7swqCOOWqeBr6pH_BwtxVklS2TrW38CSPxSX6cGsY,2025-08-09T18:18:38.877583,Direct
80,80-1.jpg,Photo Files,Unknown Auction,Hibid File Loading View,https://v5.airtableusercontent.com/v3/u/44/44/1754791200000/eA5pyiVc0xQXpZ-JQDWyOQ/tEPCEI-gT8g7j9w84uM3tg3730KZuRY0KXEEqvzBiEspTIUG30g_QyfQpnRoVaNnAtchfjluzljsyRx66Ibx3e2KjldPcsxv-byxq1E9ac5LsSkMntskOYpcBSRJph0v5sEywkTRt8F9mwE2zDfEHg/n9uL3YOvaSzuSkFE5N1rqZhpMNEji2YxQ3bctH-RElQ,2025-08-09T18:18:39.771174,Direct
